session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_constant_phase_shift,0,30,male,pnoise_2_01,reference,C1,incorrect,17363,
abx_constant_phase_shift,0,30,male,castanets_2_03,reference,C1,correct,13238,
abx_constant_phase_shift,0,30,male,square_b_2_05,reference,C1,incorrect,24458,
abx_constant_phase_shift,0,30,male,square_a_2_03,reference,C1,correct,6358,
abx_constant_phase_shift,0,30,male,castanets_2_05,reference,C1,incorrect,7332,
abx_constant_phase_shift,0,30,male,castanets_2_04,reference,C1,incorrect,11787,
abx_constant_phase_shift,0,30,male,castanets_2_01,reference,C1,correct,12450,
abx_constant_phase_shift,0,30,male,pnoise_2_03,reference,C1,incorrect,14203,
abx_constant_phase_shift,0,30,male,hotelcalifornia_2_00,reference,C1,incorrect,20271,
abx_constant_phase_shift,0,30,male,pnoise_2_05,reference,C1,correct,27319,
abx_constant_phase_shift,0,30,male,square_a_2_05,reference,C1,correct,9733,
abx_constant_phase_shift,0,30,male,pnoise_2_02,reference,C1,correct,17398,
abx_constant_phase_shift,0,30,male,square_b_2_03,reference,C1,correct,29061,
abx_constant_phase_shift,0,30,male,square_b_2_02,reference,C1,incorrect,40893,
abx_constant_phase_shift,0,30,male,square_a_2_04,reference,C1,correct,51367,
abx_constant_phase_shift,0,30,male,square_b_2_01,reference,C1,correct,42445,
abx_constant_phase_shift,0,30,male,square_a_2_00,reference,C1,correct,17427,
abx_constant_phase_shift,0,30,male,castanets_2_02,reference,C1,incorrect,97879,
abx_constant_phase_shift,0,30,male,hotelcalifornia_2_01,reference,C1,correct,15995,
abx_constant_phase_shift,0,30,male,hotelcalifornia_3_03,reference,C1,correct,16627,
abx_constant_phase_shift,0,30,male,square_a_3_03,reference,C1,correct,16203,
abx_constant_phase_shift,0,30,male,pnoise_3_00,reference,C1,incorrect,20971,
abx_constant_phase_shift,0,30,male,castanets_3_05,reference,C1,correct,10635,
abx_constant_phase_shift,0,30,male,hotelcalifornia_3_04,reference,C1,correct,12113,
abx_constant_phase_shift,0,30,male,hotelcalifornia_3_00,reference,C1,correct,7952,
abx_constant_phase_shift,0,30,male,square_a_3_05,reference,C1,correct,12385,
abx_constant_phase_shift,0,30,male,castanets_3_04,reference,C1,incorrect,10470,
abx_constant_phase_shift,0,30,male,square_b_3_02,reference,C1,correct,39306,
abx_constant_phase_shift,0,30,male,pnoise_3_03,reference,C1,correct,30120,
abx_constant_phase_shift,0,30,male,square_b_3_01,reference,C1,correct,18642,
abx_constant_phase_shift,0,30,male,square_b_3_04,reference,C1,correct,16008,
abx_constant_phase_shift,0,30,male,square_a_3_04,reference,C1,correct,9945,
abx_constant_phase_shift,0,30,male,square_a_3_01,reference,C1,correct,14017,
abx_constant_phase_shift,0,30,male,pnoise_3_04,reference,C1,correct,26261,
abx_constant_phase_shift,0,30,male,square_b_3_00,reference,C1,correct,31173,
abx_constant_phase_shift,0,30,male,pnoise_3_05,reference,C1,incorrect,17971,
abx_constant_phase_shift,0,30,male,castanets_3_03,reference,C1,correct,8805,
abx_constant_phase_shift,0,30,male,castanets_3_02,reference,C1,correct,8243,
abx_constant_phase_shift,0,30,male,hotelcalifornia_3_02,reference,C1,correct,18482,
abx_constant_phase_shift,0,30,male,square_a_3_02,reference,C1,correct,13198,
abx_constant_phase_shift,0,30,male,pnoise_3_02,reference,C1,correct,22346,
abx_constant_phase_shift,0,30,male,square_b_3_05,reference,C1,correct,15605,
abx_constant_phase_shift,0,30,male,hotelcalifornia_3_05,reference,C1,incorrect,12373,
abx_constant_phase_shift,0,30,male,hotelcalifornia_3_01,reference,C1,correct,14700,
abx_constant_phase_shift,0,30,male,square_a_3_00,reference,C1,correct,13446,
abx_constant_phase_shift,0,30,male,castanets_3_01,reference,C1,correct,13632,
abx_constant_phase_shift,0,30,male,castanets_3_00,reference,C1,correct,9154,
abx_constant_phase_shift,0,30,male,square_b_3_03,reference,C1,correct,14996,
abx_constant_phase_shift,0,30,male,pnoise_3_01,reference,C1,incorrect,9107,
abx_constant_phase_shift,1,21,female,square_a_0_01,reference,C1,correct,38105,
abx_constant_phase_shift,1,21,female,pnoise_0_00,reference,C1,incorrect,61861,
abx_constant_phase_shift,1,21,female,pnoise_0_02,reference,C1,incorrect,46756,
abx_constant_phase_shift,1,21,female,castanets_0_01,reference,C1,incorrect,79449,
abx_constant_phase_shift,1,21,female,pnoise_0_04,reference,C1,correct,22291,
abx_constant_phase_shift,1,21,female,castanets_0_00,reference,C1,incorrect,46976,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_03,reference,C1,incorrect,57564,
abx_constant_phase_shift,1,21,female,pnoise_0_05,reference,C1,correct,29829,
abx_constant_phase_shift,1,21,female,square_b_0_04,reference,C1,correct,15741,
abx_constant_phase_shift,1,21,female,square_b_0_01,reference,C1,correct,19035,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_05,reference,C1,correct,49263,
abx_constant_phase_shift,1,21,female,pnoise_0_01,reference,C1,incorrect,23551,
abx_constant_phase_shift,1,21,female,castanets_0_06,reference,C1,incorrect,85730,
abx_constant_phase_shift,1,21,female,square_b_0_02,reference,C1,correct,15031,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_00,reference,C1,correct,48373,
abx_constant_phase_shift,1,21,female,square_a_0_02,reference,C1,correct,22321,
abx_constant_phase_shift,1,21,female,pnoise_0_06,reference,C1,correct,70722,
abx_constant_phase_shift,1,21,female,castanets_0_05,reference,C1,correct,65583,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_04,reference,C1,correct,52457,
abx_constant_phase_shift,1,21,female,square_b_0_06,reference,C1,correct,16169,
abx_constant_phase_shift,1,21,female,pnoise_0_03,reference,C1,correct,57290,
abx_constant_phase_shift,1,21,female,square_b_0_03,reference,C1,correct,21523,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_01,reference,C1,incorrect,99435,
abx_constant_phase_shift,1,21,female,square_a_0_06,reference,C1,correct,8981,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_02,reference,C1,incorrect,57440,
abx_constant_phase_shift,1,21,female,square_a_0_05,reference,C1,correct,14166,
abx_constant_phase_shift,1,21,female,castanets_0_03,reference,C1,correct,29676,
abx_constant_phase_shift,1,21,female,square_a_0_00,reference,C1,correct,18180,
abx_constant_phase_shift,1,21,female,castanets_0_02,reference,C1,correct,54164,
abx_constant_phase_shift,1,21,female,castanets_0_04,reference,C1,incorrect,28056,
abx_constant_phase_shift,1,21,female,hotelcalifornia_0_06,reference,C1,incorrect,53189,
abx_constant_phase_shift,1,21,female,square_b_0_00,reference,C1,correct,20013,
abx_constant_phase_shift,1,21,female,square_a_0_03,reference,C1,correct,12479,
abx_constant_phase_shift,1,21,female,square_a_0_04,reference,C1,correct,14246,
abx_constant_phase_shift,1,21,female,square_b_0_05,reference,C1,correct,8980,
abx_constant_phase_shift,1,21,female,hotelcalifornia_1_04,reference,C1,correct,49927,
abx_constant_phase_shift,1,21,female,pnoise_1_01,reference,C1,incorrect,50407,
abx_constant_phase_shift,1,21,female,hotelcalifornia_1_02,reference,C1,incorrect,77719,
